,clinton_pct,clinton_votes,fips,other_pct,other_votes,pct_precincts_reporting,trump_pct,trump_votes
0,47.51,58392325,US,4.81,5905953,94.91,47.68,58602423
1,37.59,84102,AK,9.11,20383,76.02,53.3,119249
3,34.58,716943,AL,2.55,52971,99.76,62.87,1303434
71,33.76,378729,AR,5.82,65280,100.0,60.42,677904
147,45.24,846685,AZ,4.98,93152,95.78,49.78,931561
163,60.98,4758488,CA,5.26,410942,81.86,33.76,2634173
222,47.31,1103547,CO,7.98,186226,83.78,44.71,1043043
287,53.97,814482,CT,4.4,66454,95.86,41.63,628320
296,92.85,260223,DC,3.03,8496,100.0,4.12,11553
298,53.36,235581,DE,4.72,20851,100.0,41.92,185103
302,47.74,4462338,FL,3.14,293809,100.0,49.12,4591156
370,45.57,1834537,GA,3.1,124638,100.0,51.33,2066200
530,62.32,251853,HI,7.58,30653,100.0,30.1,121648
535,42.25,652437,IA,6.05,93360,99.27,51.7,798302
635,28.32,167676,ID,13.56,80255,89.09,58.12,344075
680,55.43,2970732,IL,5.18,277890,99.08,39.39,2111200
783,37.86,1023609,IN,4.91,132732,99.83,57.23,1547249
876,35.8,384816,KS,6.47,69501,89.97,57.73,620501
982,32.69,628914,KY,4.77,91626,100.0,62.54,1203081
1103,38.44,779535,LA,3.47,70192,100.0,58.09,1178004
1168,60.96,1899148,MA,5.66,176351,96.87,33.38,1039777
1183,60.53,1497951,MD,4.17,103073,99.25,35.3,873646
1208,48.04,325296,ME,7.0,47398,88.96,44.96,304378
1225,47.29,2239745,MI,5.09,240609,98.94,47.62,2255356
1309,46.73,1351842,MN,7.79,225347,99.9,45.48,1315735
1397,38.01,1054889,MO,4.85,134456,99.97,57.14,1585753
1513,39.93,453932,MS,1.95,22248,99.61,58.12,660754
1596,34.82,146680,MT,7.26,30587,92.71,57.92,243987
1653,46.7,2162074,NC,2.76,127794,100.0,50.54,2339603
1754,27.76,93528,ND,8.1,27310,100.0,64.14,216136
1808,33.58,260203,NE,5.65,43779,93.72,60.77,470826
1902,47.43,325979,NH,5.1,35072,93.33,47.47,326286
1913,54.85,1947650,NJ,3.19,113502,93.19,41.96,1489918
1935,48.29,380527,NM,11.7,92157,100.0,40.01,315293
1969,47.88,537500,NV,6.59,73884,97.73,45.53,511097
1987,58.74,4053670,NY,3.73,257296,97.35,37.53,2589690
2050,43.51,2317001,OH,4.44,236410,100.0,52.05,2771984
2139,28.93,419788,OK,5.74,83334,100.0,65.33,947934
2217,51.68,859298,OR,6.97,115834,89.5,41.35,687583
2254,47.65,2844084,PA,3.56,212482,99.76,48.79,2911986
2322,54.86,224535,RI,4.81,19669,98.98,40.33,165069
2328,39.97,804943,SC,4.43,89232,100.0,55.6,1119749
2375,31.77,116944,SD,6.75,24861,99.43,61.48,226348
2442,34.89,865693,TN,4.04,100102,100.0,61.07,1515242
2538,43.4,3831648,TX,3.98,351643,98.45,52.62,4646395
2793,28.6,209928,UT,25.92,190289,70.37,45.48,333892
2823,49.74,1911574,VA,5.28,202814,98.59,44.98,1728446
2957,61.14,173161,VT,6.25,17711,99.28,32.61,92368
2972,56.43,1107080,WA,5.89,115736,64.6,37.68,739202
3012,46.95,1377588,WI,5.19,152460,99.83,47.86,1404376
3085,26.46,186095,WV,4.89,34364,99.94,68.65,482809
3141,22.49,55949,WY,7.46,18545,100.0,70.05,174248
